Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis mineral maduro, ervas secas, couro sutil. Boca: cremoso taninos polidos, acidez viva, longo elegante. Reserva top madura. Beba agora-2035. Carne grelhada ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Prado Enea)
Quiñon de Valmira 20-|2020|Rioja|Tempranillo|672€|Nariz: cassis violetas mineral. Boca: denso cremoso, taninos firmes, final longo. Ícone Valmira. Beba agora-2045. Carne vermelha ou caça.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Quiñon de Valmira 21-|2021|Rioja|Tempranillo|770€|Nariz: frutas escuras ervas mineral. Boca: tenso elegante, acidez viva. Top. Beba 2026-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Quiñon de Valmira 22-|2022|Rioja|Tempranillo|825€|Nariz: cassis mineral. Boca: denso puro, taninos suaves. Jovem ícone. Beba 2027-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remelluri Reserva 17 TO-|2017|Rioja|Tempranillo|58€|Nariz: cassis ervas mineral. Boca: cremoso equilibrado. Reserva top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remelluri Rioja Gran Rva 16-|2016|Rioja|Tempranillo|122€|Nariz: cassis mineral maduro. Boca: complexo longo. Gran Reserva top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza G Rva 01 5L-|2001|Rioja|Tempranillo|Jeroboam (500cl)|7440€|Nariz: cassis mineral maduro. Boca: complexo eterno. Jeroboam lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez De Ganuza G Rva 04-|2004|Rioja|Tempranillo|1808€|Nariz: cassis ervas maduro. Boca: cremoso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza G Rva 05-|2005|Rioja|Tempranillo|439€|Nariz: frutas escuras mineral. Boca: denso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza G Rva 10-|2010|Rioja|Tempranillo|491€|Nariz: cassis mineral. Boca: cremoso taninos suaves. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza G Rva 12-|2012|Rioja|Tempranillo|320€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez De Ganuza G Rva 15-|2015|Rioja|Tempranillo|227€|Nariz: frutas escuras mineral. Boca: cremoso longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza G Rva 94-|1994|Rioja|Tempranillo|512€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza Rva 08-|2008|Rioja|Tempranillo|210€|Nariz: cassis ervas maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza Rva 14-|2014|Rioja|Tempranillo|132€|Nariz: cassis mineral. Boca: denso equilibrado. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza Rva 17-|2017|Rioja|Tempranillo|103€|Nariz: frutas escuras ervas. Boca: cremoso taninos suaves. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza Rva 18-|2018|Rioja|Tempranillo|84€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza Trasnocho 12-|2012|Rioja|Tempranillo|375€|Nariz: cassis ervas. Boca: denso complexo. Trasnocho top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Remirez de Ganuza Viña Coqueta 15-|2015|Rioja|Tempranillo|57€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Viña top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roda Cirsion 19-|2019|Rioja|Tempranillo|382€|Nariz: cassis violetas mineral. Boca: denso cremoso. Cirsion top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roda I Rva 19-|2019|Rioja|Tempranillo|88€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Reserva top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roda I Rva 20-|2020|Rioja|Tempranillo|92€|Nariz: frutas escuras mineral. Boca: denso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roda Reserva 22-|2022|Rioja|Tempranillo|52€|Nariz: cassis ervas. Boca: cremoso equilibrado. Reserva bom valor. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sierra cantabria Col Privada 22-|2022|Rioja|Tempranillo|92€|Nariz: cassis violetas. Boca: denso cremoso. Col Privada top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sierra Cantabria Mágico 19-|2019|Rioja|Tempranillo|1109€|Nariz: cassis mineral. Boca: denso complexo. Mágico top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sierra Cantabria Magico 20-|2020|Rioja|Tempranillo|1124€|Nariz: frutas escuras ervas. Boca: cremoso taninos firmes. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sierra Cantabria Magico 22-|2022|Rioja|Tempranillo|842€|Nariz: cassis violetas mineral. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tabuerniga-|2020|Rioja|Tempranillo|176€|Nariz: cassis ervas mineral. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tabuerniga 22-|2022|Rioja|Tempranillo|188€|Nariz: frutas escuras mineral. Boca: cremoso complexo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Telmo Rodríguez Las Beatas 20-|2020|Rioja|Tempranillo|443€|Nariz: cassis mineral. Boca: denso elegante. Beatas top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Telmo Rodriguez Tabuerniga 20-|2020|Rioja|Tempranillo|160€|Nariz: frutas escuras ervas. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trasnocho Rva 10-|2010|Rioja|Tempranillo|375€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trasnocho Rva 18-|2018|Rioja|Tempranillo|156€|Nariz: cassis ervas. Boca: denso cremoso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trasnocho Rva 19-|2019|Rioja|Tempranillo|115€|Nariz: frutas escuras mineral. Boca: cremoso taninos suaves. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Valenciso-|2019|Rioja|Tempranillo|48€|Nariz: cassis ervas. Boca: cremoso equilibrado. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Valenciso 10 Años Despues 15-|2015|Rioja|Tempranillo|121€|Nariz: cassis mineral maduro. Boca: complexo longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Ardanza 04-|2004|Rioja|Tempranillo|207€|Nariz: cassis mineral maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Ardanza 05-|2005|Rioja|Tempranillo|207€|Nariz: frutas escuras ervas maduro. Boca: denso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Ardanza Rva 19-|2019|Rioja|Tempranillo|52€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Reserva top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Ardanza Rva 94-|1994|Rioja|Tempranillo|310€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Tondonia G Rva 04-|2004|Rioja|Tempranillo|400€|Nariz: cassis ervas maduro. Boca: cremoso complexo. Gran Reserva top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Tondonia Rva 04-|2004|Rioja|Tempranillo|462€|Nariz: cassis mineral maduro. Boca: denso longo. Reserva top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Tondonia Rva 12-|2012|Rioja|Tempranillo|75€|Nariz: cassis ervas. Boca: cremoso equilibrado. Reserva top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage L'Ermite Rg 04-|2004|Ródano|Syrah|506€|Nariz: frutas escuras mineral maduro. Boca: denso complexo eterno. Ermitage maduro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Andremily Syrah 20-|2020|California|Syrah|499€|Nariz: frutas escuras pimenta. Boca: denso cremoso. Syrah top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bond Pluribus 19-|2019|California|Cabernet Sauvignon|1345€|Nariz: cassis mineral. Boca: denso taninos firmes. Pluribus top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bond Quella 19-|2019|California|Cabernet Sauvignon|1400€|Nariz: cassis ervas. Boca: cremoso elegante. Quella top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cayuse Impulsivo 20-|2020|California|Tempranillo|357€|Nariz: frutas vermelhas ervas. Boca: denso mineral. Tempranillo top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ceritas Elliott Pinot Noir 22-|2022|California|Pinot Noir|305€|Nariz: morango cereja mineral. Boca: leve tenso. Pinot top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ceritas Peter Martin Ray 21-|2021|California|Pinot Noir|360€|Nariz: frutas vermelhas ervas. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dalla Valle Maya 18-|2018|California|Cabernet Franc|1300€|Nariz: cassis pimentão. Boca: denso elegante. Maya top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine De La Cote Estate 22-|2022|California|Pinot Noir|147€|Nariz: morango mineral. Boca: leve puro. Estate top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Eisele Vineyard Altagracia 21-|2021|California|Cabernet Sauvignon|403€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Altagracia top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Harlan Estate 19-|2019|California|Cabernet Sauvignon|3300€|Nariz: cassis mineral. Boca: denso cremoso eterno. Ícone Harlan. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Harlan Estate 20-|2020|California|Cabernet Sauvignon|3350€|Nariz: cassis ervas. Boca: taninos firmes longo. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Kistler Sonoma Coast TO 22-|2022|California|Pinot Noir|175€|Nariz: morango cereja mineral. Boca: cremoso elegante. TO top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Kongsgaard Syrah 20-|2020|California|Syrah|658€|Nariz: frutas escuras pimenta. Boca: denso cremoso. Syrah top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Kongsgaard Syrah 22-|2022|California|Syrah|617€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Joie 13-|2013|California|Cabernet Sauvignon|700€|Nariz: cassis ervas. Boca: denso complexo. Joie top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lokoya 12-|2012|California|Cabernet Sauvignon|1280€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maya 21-|2021|California|Cabernet Franc|1165€|Nariz: cassis pimentão. Boca: denso elegante. Maya top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Screaming Eagle 20-|2020|California|Cabernet Sauvignon|Magnum (150cl)|15200€|Nariz: cassis mineral. Boca: denso eterno. Magnum ícone. Beba agora-2060.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Opus One 19-|2019|California|Cabernet Sauvignon|820€|Nariz: cassis ervas mineral. Boca: cremoso taninos firmes. Opus top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Opus One 21-|2021|California|Cabernet Sauvignon|745€|Nariz: cassis violetas. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Opus One Overture 18-|2018|California|Cabernet Sauvignon|370€|Nariz: cassis ervas. Boca: cremoso equilibrado. Overture top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Promontory 16-|2016|California|Cabernet Sauvignon|2142€|Nariz: cassis mineral. Boca: denso complexo. Promontory top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Promontory 18-|2018|California|Cabernet Sauvignon|2150€|Nariz: cassis ervas. Boca: cremoso longo. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Promontory 19-|2019|California|Cabernet Sauvignon|2300€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Racines La Rinconada Pinot Noir 19-|2019|California|Pinot Noir|231€|Nariz: morango cereja mineral. Boca: leve tenso. Pinot top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
