Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Fleurot Larose Chassagne Rocquemaure 20-|2020|Borgoña|Chardonnay|278€|Nariz: maçã madura, limão sutil, mineral e noz leve. Boca: cremoso fresco, acidez viva, corpo médio, final longo mineral. Elegante equilibrado, pronto mas evolui bem. Beba agora-2032. Peixe grelhado ou frango cremoso.|JS: N/A (similar 92-94) | WA: N/A | TA: N/A | Peñín: N/A
Fleurot Larose Chassagne Rocquemaure 21-|2021|Borgoña|Chardonnay|262€|Nariz: limão fresco, maçã verde, flores brancas, mineral calcário. Boca: tenso puro, acidez alta salina, final persistente. Fresco preciso. Beba 2025-2035. Ostras ou salmão defumado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Francois Carillon Puligny 1C Champgain 23-|2023|Borgoña|Chardonnay|306€|Nariz: lima, pera, mineral fino, toque floral. Boca: ataque mineral forte, acidez crocante, corpo médio, final longo elegante. Linear refinado. Beba 2026-2035. Vieiras ou queijo cabra.|JS: N/A | WA: N/A | TA: 93 (similar Puligny) | Peñín: N/A
Francois Carillon Puligny Enseigneres 23-|2023|Borgoña|Chardonnay|290€|Nariz: pêssego branco, limão, floral sutil. Boca: acidez bela, mineral puro, prolongado. Fresco refinado. Beba agora-2032. Peixe branco ou mariscos.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Girardin Corton Charlemagne 22-|2022|Borgoña|Chardonnay|646€|Nariz: limão, maçã, mineral forte, carvalho sutil tostado. Boca: cremoso denso, acidez viva, longo complexo. Grand Cru poderoso equilibrado. Beba 2027-2040. Lagosta ou frutos do mar ricos.|JS: N/A (similar 94+) | WA: N/A | TA: N/A | Peñín: N/A
Hudelot Noellat Bourgogne Aligote 22-|2022|Borgoña|Chardonnay|70€|Nariz: limão fresco, maçã verde, ervas leves. Boca: seco crocante, acidez alta refrescante, leve gostoso. Direto aperitivo. Beba agora-2028. Saladas ou queijos frescos.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hudelot Noellat Meursault Clos de l'École 22-|2022|Borgoña|Chardonnay|246€|Nariz: maçã, limão, mineral, noz sutil. Boca: cremoso preciso, acidez viva, corpo médio, final mineral longo. Clássico elegante. Beba agora-2035. Frango assado ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Batard Montrachet 22-|2022|Borgoña|Chardonnay|1602€|Nariz: limão, abacaxi maduro, tostado leve, mineral. Boca: rico cremoso, acidez viva, denso longo. Grand Cru poderoso refinado. Beba 2028-2045. Lagosta ou foie gras.|JS: N/A (Jadot similar 95+) | WA: N/A | TA: N/A | Peñín: N/A
Jadot Bienvenues Batard Montrachet 22-|2022|Borgoña|Chardonnay|1560€|Nariz: frutas brancas, flores, mineral sutil. Boca: cremoso elegante, acidez brilhante, final persistente. Delicado top. Beba agora-2040. Caviar ou queijos cremosos.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Chevalier Montrachet Demoiselles 22-|2022|Borgoña|Chardonnay|1953€|Nariz: limão, maçã, mineral calcário, carvalho fino. Boca: tenso denso, acidez brilhante, final infinito. Grand Cru supremo. Beba 2030-2050. Pratos nobres ou caviar.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Corton Charlemagne 22-|2022|Borgoña|Chardonnay|525€|Nariz: cítricos, mineral, tostado sutil. Boca: cremoso mineral, acidez viva, longo poderoso. Elegante Grand Cru. Beba agora-2040. Peixe nobre ou aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
