"pod","bodega","descricao","ano","region","tipo","uvas","falta_nota_cata","falta_card_criticos","nota_cata","card_criticos"
"POD017593","Rico Nuevo","","2021","Madrid","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Albillo Mayor"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019638","Rico Nuevo","","2022","Madrid","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Albillo Mayor"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017912","Cerrón","","2023","Murcia","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Merseguera"",""pct"":null,""confianza"":""alta""},{""nome"":""Macabeo"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018568","Chivite","","2023","Navarra","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019659","Pequeñas Puertas","","2022","Navarra","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Garnacha Blanca"",""pct"":null,""confianza"":""alta""},{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019723","Viña Zorzal","","2023","Navarra","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Garnacha Blanca"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012988","Doniene Gorrondona","","2023","Bizkaiko Txakolina","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Hondarribi Zuri"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018757","Oxer Bastegieta","","2023","Bizkaiko Txakolina","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Hondarribi Zuri"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019789","Abel Mendoza","","2024","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019766","Abel Mendoza","","2024","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018339","Marqués de Murrieta","","2020","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD005077","Marqués de Murrieta","","1986","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasia Riojana"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019745","Carlos Mazo","","2023","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012651","Cuentaviñas","","2022","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017575","La Emperatriz","","2019","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Garnacha Blanca"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018643","Mauro","","2021","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""},{""nome"":""Garnacha Blanca"",""pct"":null,""confianza"":""alta""},{""nome"":""Tempranillo Blanco"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016107","Mauro","","2021","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016778","Remírez de Ganuza","","2015","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018513","Remírez de Ganuza","","2018","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
