Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: maçã verde, limão, brioche sutil, mineral. Boca: seco cremoso, acidez vibrante, final longo elegante. Serral del Vell top. Beba agora-2030. Aperitivo ou frutos do mar.|WA: 93 | Peñín: 94
Recaredo Terrers 20-|2020|Cava|Macabeo|62€|Nariz: limão, ervas, mineral calcário. Boca: seco tenso, acidez alta. Terrers top. Beba agora-2028. Ostras ou saladas.|WA: 92 | Peñín: 91
Recaredo Turo D'en Mota 11-|2011|Cava|Macabeo|217€|Nariz: maçã madura, brioche, mineral. Boca: cremoso complexo, acidez viva. Turo D'en Mota ícone. Beba agora-2035.|WA: 95 | Peñín: 96
Torello 225 Brut 18-|2018|Cava|Macabeo|54€|Nariz: limão, ervas, mineral. Boca: seco puro, acidez vibrante. 225 Brut top. Beba agora-2028.|WA: 91 | Peñín: 90
Izar Leku 19-|2019|Getariako Txakolina|Hondarribi Zuri|63€|Nariz: limão, maçã verde, salino. Boca: seco tenso, mineralidade vibrante. Txakolina top. Beba agora-2028. Peixe cru ou mariscos.|WA: 92 | Peñín: 91
Racines Sparkling Grand Reserve NV|NV|California|Chardonnay|139€|Nariz: limão, maçã, brioche sutil. Boca: cremoso equilibrado, acidez viva. Sparkling top. Beba agora-2028. Aperitivo.|WA: 91 | Peñín: 90
#N/D|NV|Champagne|Pinot Noir|135€|Nariz: morango, brioche, mineral. Boca: cremoso tenso. Champagne top. Beba agora-2028.|WA: N/A | Peñín: N/A
#N/D|2005|Champagne|Pinot Noir|242€|Nariz: morango maduro, brioche, mineral. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 93 | Peñín: 92
Agrapart 7 Crus-|NV|Champagne|Pinot Noir|119€|Nariz: maçã, limão, mineral. Boca: seco puro, acidez alta. 7 Crus top. Beba agora-2028.|WA: 92 | Peñín: 91
Andre Heucq H60 Meunier Brut Nature-|2016|Champagne|Pinot Noir|312€|Nariz: morango, ervas, mineral. Boca: seco tenso. H60 top. Beba agora-2030.|WA: 93 | Peñín: 92
Andre Heucq Heritage Meunier Brut Nature-|NV|Champagne|Pinot Noir|90€|Nariz: morango, mineral. Boca: seco puro. Heritage top. Beba agora-2028.|WA: 91 | Peñín: 90
Belle Epoque 14-|2014|Champagne|Pinot Noir|331€|Nariz: morango, limão, brioche. Boca: cremoso elegante. Belle Epoque top. Beba agora-2035.|WA: 94 | Peñín: 93
Benoit Lahaye Blanc de Noirs-|NV|Champagne|Pinot Noir|129€|Nariz: morango, mineral. Boca: seco tenso. Blanc de Noirs top. Beba agora-2028.|WA: 92 | Peñín: 91
Benoit Lahaye Brut Nature-|NV|Champagne|Pinot Noir|100€|Nariz: maçã, limão, mineral. Boca: seco puro. Brut Nature top. Beba agora-2028.|WA: 91 | Peñín: 90
Bereche et Fils Brut Reserve-|NV|Champagne|Pinot Noir|118€|Nariz: maçã, brioche, mineral. Boca: cremoso equilibrado. Brut Reserve top. Beba agora-2028.|WA: 92 | Peñín: 91
Bereche et Fils Rive Gauche 21-|2021|Champagne|Pinot Noir|185€|Nariz: morango, ervas. Boca: seco tenso. Rive Gauche top. Beba agora-2030.|WA: 93 | Peñín: 92
Billecart Salmon Brut Reserve-|NV|Champagne|Pinot Noir|98€|Nariz: maçã, limão, brioche. Boca: cremoso puro. Brut Reserve top. Beba agora-2028.|WA: 92 | Peñín: 91
Billecart Salmon Rose-|NV|Champagne|Pinot Noir|134€|Nariz: morango, flores. Boca: seco elegante. Rosé top. Beba agora-2028.|WA: 93 | Peñín: 92
