Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis maduro, tabaco, couro e especiarias. Boca: denso cremoso, taninos elegantes e polidos, final longo e complexo. Prado Enea top. Beba agora-2035+. Harmonização: carne vermelha grelhada ou queijo curado.|WA: 94 | JS: 95 | Peñín: 95
Quiñon de Valmira 20-|2020|Rioja|Tempranillo|672€|Nariz: cassis mineral, violetas e ervas finas. Boca: denso puro, taninos sedosos, acidez vibrante e final eterno. Quiñon de Valmira ícone. Beba agora-2040+. Harmonização: carne vermelha premium ou caça.|WA: 95-100 | JS: N/A | Peñín: N/A
Quiñon de Valmira 21-|2021|Rioja|Tempranillo|770€|Nariz: frutas escuras maduras, mineral e floral. Boca: cremoso eterno, taninos firmes mas refinados. Quiñon de Valmira ícone. Beba agora-2045+. Harmonização: assados ou queijos intensos.|WA: N/A | JS: N/A | Peñín: 98
Quiñon de Valmira 22-|2022|Rioja|Tempranillo|825€|Nariz: cassis, ervas e mineral sutil. Boca: tenso elegante, taninos vibrantes e puro. Jovem top. Beba 2027-2045+. Harmonização: carne vermelha ou queijo curado.|WA: N/A | JS: N/A | Peñín: N/A
Remelluri Reserva 17 TO-|2017|Rioja|Tempranillo|58€|Nariz: frutas vermelhas, ervas e mineral. Boca: fresco denso, taninos suaves. Remelluri Reserva top. Beba agora-2030+. Harmonização: carnes leves ou queijos.|WA: 92 | JS: 93 | Peñín: 92
Remelluri Rioja Gran Rva 16-|2016|Rioja|Tempranillo|122€|Nariz: cassis maduro, tabaco e especiarias. Boca: complexo cremoso, taninos elegantes. Gran Rva top. Beba agora-2035+. Harmonização: carne vermelha ou caça.|WA: 94 | JS: 94 | Peñín: 93
Remirez de Ganuza G Rva 01 5L-|2001|Rioja|Tempranillo|7440€|Nariz: cassis maduro, couro e ervas secas. Boca: eterno complexo, taninos polidos. G Rva lendário. Beba agora.|WA: 96 | JS: N/A | Peñín: 95
Remirez De Ganuza G Rva 04-|2004|Rioja|Tempranillo|1808€|Nariz: cassis mineral maduro, tabaco e especiarias. Boca: denso eterno, taninos elegantes. G Rva ícone (100 Parker). Beba agora.|WA: 100 | JS: N/A | Peñín: N/A
Remirez de Ganuza G Rva 05-|2005|Rioja|Tempranillo|439€|Nariz: frutas escuras, ervas maduras. Boca: cremoso longo, taninos refinados. G Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: N/A | Peñín: 95
Remirez de Ganuza G Rva 10-|2010|Rioja|Tempranillo|491€|Nariz: cassis, ervas e mineral. Boca: denso cremoso, taninos firmes. G Rva top. Beba agora-2035+. Harmonização: assados.|WA: 95 | JS: N/A | Peñín: 94
Remirez de Ganuza G Rva 12-|2012|Rioja|Tempranillo|320€|Nariz: cassis maduro, tabaco. Boca: complexo elegante. G Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 97 | JS: N/A | Peñín: N/A
Remirez De Ganuza G Rva 15-|2015|Rioja|Tempranillo|227€|Nariz: frutas escuras, especiarias. Boca: cremoso taninos suaves. G Rva top. Beba agora-2035+. Harmonização: queijo curado.|WA: 95 | JS: N/A | Peñín: 94
Remirez de Ganuza G Rva 94-|1994|Rioja|Tempranillo|512€|Nariz: cassis maduro, couro e ervas secas. Boca: eterno complexo. G Rva lendário. Beba agora.|WA: 96 | JS: N/A | Peñín: 95
Remirez de Ganuza Rva 08-|2008|Rioja|Tempranillo|210€|Nariz: cassis, ervas maduras. Boca: denso cremoso. Rva top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 94 | JS: N/A | Peñín: 93
Remirez de Ganuza Rva 14-|2014|Rioja|Tempranillo|132€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Rva top. Beba agora-2030+. Harmonização: carnes grelhadas.|WA: 93 | JS: N/A | Peñín: 92
Remirez de Ganuza Rva 17-|2017|Rioja|Tempranillo|103€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: N/A | Peñín: 92
Remirez de Ganuza Rva 18-|2018|Rioja|Tempranillo|84€|Nariz: frutas escuras, especiarias. Boca: denso equilibrado. Rva top. Beba agora-2030+. Harmonização: queijos.|WA: 92 | JS: N/A | Peñín: 91
Remirez de Ganuza Trasnocho 12-|2012|Rioja|Tempranillo|375€|Nariz: cassis mineral. Boca: denso cremoso. Trasnocho top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: N/A | Peñín: 93
Remirez de Ganuza Viña Coqueta 15-|2015|Rioja|Tempranillo|57€|Nariz: frutas vermelhas, ervas. Boca: fresco mineral. Viña Coqueta top. Beba agora-2030+. Harmonização: aperitivo ou carnes leves.|WA: 92 | JS: N/A | Peñín: 91
Roda Cirsion 19-|2019|Rioja|Tempranillo|382€|Nariz: cassis violetas, mineral. Boca: denso cremoso eterno. Cirsion top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: 94
Roda I Rva 19-|2019|Rioja|Tempranillo|88€|Nariz: cassis, ervas. Boca: cremoso taninos suaves. Roda I Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: 92
Roda I Rva 20-|2020|Rioja|Tempranillo|92€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Roda I Rva top. Beba agora-2035+. Harmonização: queijo curado.|WA: 93 | JS: 92 | Peñín: 92
Roda Reserva 22-|2022|Rioja|Tempranillo|52€|Nariz: morango, ervas. Boca: fresco equilibrado. Roda Reserva top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: 91 | JS: 91 | Peñín: 90
Sierra cantabria Col Privada 22-|2022|Rioja|Tempranillo|92€|Nariz: cassis, ervas. Boca: denso puro. Col Privada top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: 92
Sierra Cantabria Mágico 19-|2019|Rioja|Tempranillo|1109€|Nariz: cassis mineral, violetas. Boca: denso cremoso eterno. Mágico ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 96 | JS: 98 | Peñín: 98
Sierra Cantabria Magico 20-|2020|Rioja|Tempranillo|1124€|Nariz: frutas escuras, especiarias. Boca: cremoso taninos firmes. Mágico ícone. Beba agora-2045+. Harmonização: carne vermelha premium.|WA: 96 | JS: 98 | Peñín: 98
Sierra Cantabria Magico 22-|2022|Rioja|Tempranillo|842€|Nariz: cassis, ervas. Boca: denso puro vibrante. Jovem top. Beba 2027-2045+. Harmonização: assados.|WA: N/A | JS: N/A | Peñín: N/A
Tabuerniga-|2020|Rioja|Tempranillo|176€|Nariz: cassis mineral. Boca: denso elegante. Tabuerniga top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Tabuerniga 22-|2022|Rioja|Tempranillo|188€|Nariz: frutas vermelhas, ervas. Boca: fresco denso. Tabuerniga top. Beba agora-2035+. Harmonização: carnes grelhadas.|WA: 93 | JS: 92 | Peñín: 92
Telmo Rodríguez Las Beatas 20-|2020|Rioja|Tempranillo|443€|Nariz: cassis, mineral e ervas. Boca: denso cremoso, taninos refinados. Las Beatas top. Beba agora-2040+. Harmonização: caça ou queijos fortes.|WA: 96 | JS: 95 | Peñín: 95
Telmo Rodriguez Tabuerniga 20-|2020|Rioja|Tempranillo|160€|Nariz: cassis mineral. Boca: denso puro. Tabuerniga top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Trasnocho Rva 10-|2010|Rioja|Tempranillo|375€|Nariz: cassis maduro, tabaco. Boca: complexo cremoso. Trasnocho top. Beba agora-2030+. Harmonização: assados.|WA: 94 | JS: N/A | Peñín: 93
Trasnocho Rva 18-|2018|Rioja|Tempranillo|156€|Nariz: frutas escuras, especiarias. Boca: denso elegante. Trasnocho top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: N/A | Peñín: 92
Trasnocho Rva 19-|2019|Rioja|Tempranillo|115€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Trasnocho top. Beba agora-2035+. Harmonização: queijo curado.|WA: 93 | JS: N/A | Peñín: 92
Valenciso-|2019|Rioja|Tempranillo|48€|Nariz: frutas vermelhas, ervas. Boca: fresco mineral. Valenciso top. Beba agora-2030+. Harmonização: carnes leves.|WA: 91 | JS: 90 | Peñín: 90
Valenciso 10 Años Despues 15-|2015|Rioja|Tempranillo|121€|Nariz: cassis maduro, mineral. Boca: denso cremoso. 10 Años top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: 92
Viña Ardanza 04-|2004|Rioja|Tempranillo|207€|Nariz: cassis mineral maduro. Boca: complexo eterno. Viña Ardanza top. Beba agora.|WA: 94 | JS: 93 | Peñín: 93
Viña Ardanza 05-|2005|Rioja|Tempranillo|207€|Nariz: frutas escuras, tabaco. Boca: cremoso longo. Viña Ardanza top. Beba agora.|WA: 94 | JS: 93 | Peñín: 93
Viña Ardanza Rva 19-|2019|Rioja|Tempranillo|52€|Nariz: cassis, ervas. Boca: cremoso equilibrado. Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: 92
Viña Ardanza Rva 94-|1994|Rioja|Tempranillo|310€|Nariz: cassis maduro, couro. Boca: eterno complexo. Rva lendário. Beba agora.|WA: 95 | JS: N/A | Peñín: 94
Viña Tondonia G Rva 04-|2004|Rioja|Tempranillo|400€|Nariz: cassis mineral maduro. Boca: complexo eterno. G Rva top. Beba agora.|WA: 96 | JS: 95 | Peñín: 95
Viña Tondonia Rva 04-|2004|Rioja|Tempranillo|462€|Nariz: cassis, ervas maduras. Boca: cremoso longo. Rva top. Beba agora.|WA: 95 | JS: 94 | Peñín: 94
Viña Tondonia Rva 12-|2012|Rioja|Tempranillo|75€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Rva top. Beba agora-2030+. Harmonização: carnes leves.|WA: 93 | JS: 92 | Peñín: 92
Chapoutier Ermitage L'Ermite Rg 04-|2004|Ródano|Syrah|506€|Nariz: cassis mineral, ervas e fumo. Boca: denso eterno, taninos poderosos. L'Ermite ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Andremily Syrah 20-|2020|California|Syrah|499€|Nariz: frutas escuras, especiarias e mineral. Boca: cremoso taninos firmes. Andremily top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Bond Pluribus 19-|2019|California|Cabernet Sauvignon|1345€|Nariz: cassis, violetas e mineral. Boca: denso cremoso eterno. Pluribus ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Bond Quella 19-|2019|California|Cabernet Sauvignon|1400€|Nariz: cassis mineral. Boca: denso elegante. Quella ícone. Beba agora-2040+. Harmonização: carne premium.|WA: 98 | JS: 97 | Peñín: N/A
Cayuse Impulsivo 20-|2020|California|Tempranillo|357€|Nariz: frutas vermelhas, ervas e mineral. Boca: fresco denso. Impulsivo top. Beba agora-2035+. Harmonização: carnes grelhadas.|WA: 94 | JS: 93 | Peñín: N/A
Ceritas Elliott Pinot Noir 22-|2022|California|Pinot Noir|305€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. Elliott top. Beba agora-2030+. Harmonização: peixe grelhado ou aves.|WA: 95 | JS: 94 | Peñín: N/A
Ceritas Peter Martin Ray 21-|2021|California|Pinot Noir|360€|Nariz: frutas vermelhas, mineral. Boca: denso puro. Peter Martin Ray top. Beba agora-2035+. Harmonização: carnes leves.|WA: 96 | JS: 95 | Peñín: N/A
Dalla Valle Maya 18-|2018|California|Cabernet Franc|1300€|Nariz: cassis, violetas e ervas. Boca: denso cremoso eterno. Maya ícone. Beba agora-2040+. Harmonização: carne vermelha.|WA: 98 | JS: 97 | Peñín: N/A
Domaine De La Cote Estate 22-|2022|California|Pinot Noir|147€|Nariz: morango, ervas. Boca: fresco mineral. Estate top. Beba agora-2030+. Harmonização: aperitivo ou peixe.|WA: 93 | JS: 92 | Peñín: N/A
Eisele Vineyard Altagracia 21-|2021|California|Cabernet Sauvignon|403€|Nariz: cassis mineral. Boca: denso elegante. Altagracia top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Harlan Estate 19-|2019|California|Cabernet Sauvignon|3300€|Nariz: cassis violetas, mineral profundo. Boca: denso eterno, taninos sedosos. Harlan ícone. Beba agora-2045+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Harlan Estate 20-|2020|California|Cabernet Sauvignon|3350€|Nariz: cassis, ervas e mineral. Boca: cremoso taninos firmes. Harlan ícone. Beba agora-2045+. Harmonização: carne premium.|WA: 98 | JS: 97 | Peñín: N/A
Kistler Sonoma Coast TO 22-|2022|California|Pinot Noir|175€|Nariz: morango, ervas. Boca: fresco denso. Kistler top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 94 | JS: 93 | Peñín: N/A
Kongsgaard Syrah 20-|2020|Estados Unidos (California)|Syrah|658€|Nariz: frutas escuras, especiarias. Boca: denso cremoso. Kongsgaard top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Kongsgaard Syrah 22-|2022|Estados Unidos (California)|Syrah|617€|Nariz: cassis mineral. Boca: denso puro. Kongsgaard top. Beba agora-2035+. Harmonização: caça.|WA: N/A | JS: N/A | Peñín: N/A
La Joie 13-|2013|California|Cabernet Sauvignon|700€|Nariz: cassis maduro, ervas. Boca: denso cremoso. La Joie top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Lokoya 12-|2012|California|Cabernet Sauvignon|1280€|Nariz: cassis mineral maduro. Boca: denso eterno. Lokoya top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Maya 21-|2021|California|Cabernet Franc|1165€|Nariz: cassis, violetas. Boca: denso cremoso eterno. Maya ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Mg Screaming Eagle 20-|2020|California|Cabernet Sauvignon|15200€|Nariz: cassis violetas, mineral profundo. Boca: denso eterno, taninos sedosos. Magnum ícone. Beba agora-2050+. Harmonização: carne premium.|WA: 98 | JS: 97 | Peñín: N/A
Opus One 19-|2019|California|Cabernet Sauvignon|820€|Nariz: cassis, ervas e mineral. Boca: cremoso taninos firmes. Opus One top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Opus One 21-|2021|California|Cabernet Sauvignon|745€|Nariz: frutas escuras, especiarias. Boca: denso elegante. Opus One top. Beba agora-2040+. Harmonização: assados.|WA: 96 | JS: 95 | Peñín: N/A
Opus One Overture 18-|2018|California|Cabernet Sauvignon|370€|Nariz: cassis, ervas. Boca: cremoso equilibrado. Overture top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Promontory 16-|2016|California|Cabernet Sauvignon|2142€|Nariz: cassis mineral. Boca: denso cremoso eterno. Promontory top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Promontory 18-|2018|California|Cabernet Sauvignon|2150€|Nariz: cassis violetas. Boca: denso puro. Promontory top. Beba agora-2040+. Harmonização: carne premium.|WA: 97 | JS: 96 | Peñín: N/A
Promontory 19-|2019|California|Cabernet Sauvignon|2300€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Promontory top. Beba agora-2045+. Harmonização: assados.|WA: 98 | JS: 97 | Peñín: N/A
