Prieure Roch Le Clos Goillote 17-|2017|Borgoña|Pinot Noir|4175€|Nariz: frutas vermelhas maduras, mineral sutil, toque floral. Boca: denso cremoso, taninos finos, acidez viva, final longo elegante. Clos Goillote top maduro. Beba agora-2035. Carne vermelha ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Le Clos Goillote 20-|2020|Borgoña|Pinot Noir|4650€|Nariz: morango mineral, ervas. Boca: tenso puro, denso elegante. Top. Beba 2026-2045. Carne grelhada ou aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Le Clos Goillote 22-|2022|Borgoña|Pinot Noir|2360€|Nariz: frutas vermelhas flores mineral. Boca: cremoso taninos suaves. Jovem top. Beba 2027-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch NSG Clos Corvees 20-|2020|Borgoña|Pinot Noir|1090€|Nariz: cassis mineral. Boca: denso cremoso, acidez viva. Clos Corvees top. Beba agora-2040. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch VDF Le Cloud TO 23-|2022|Borgoña|Pinot Noir|210€|Nariz: morango ervas mineral. Boca: fresco puro. Le Cloud top. Beba agora-2035. Aperitivo ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Puy LOurs Savigny Folettes 23-|2023|Borgoña|Pinot Noir|140€|Nariz: frutas vermelhas flores. Boca: leve tenso. Savigny top. Beba agora-2030. Peixe ou frango.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rebourseau Cham Clos de Beze 23-|2023|Borgoña|Pinot Noir|825€|Nariz: cassis mineral. Boca: denso elegante. Clos de Beze top. Beba 2027-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rebourseau Chambertin 23-|2023|Borgoña|Pinot Noir|940€|Nariz: frutas vermelhas ervas. Boca: cremoso taninos firmes. Chambertin top. Beba 2027-2045. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rebourseau Gevrey 1C Fonteny 23-|2023|Borgoña|Pinot Noir|210€|Nariz: morango mineral. Boca: puro denso. Fonteny top. Beba agora-2035. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rebourseau Gevrey Chambertin 23-|2023|Borgoña|Pinot Noir|116€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Gevrey top. Beba agora-2030. Aperitivo ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Romanee Conti 19-|2019|Borgoña|Pinot Noir|25000€|Nariz: morango mineral sutil, flores. Boca: denso cremoso, acidez precisa, final infinito. Ícone absoluto. Beba 2028-2060+. Luxo máximo.|JS: N/A | WA: 98+ (similar) | TA: N/A | Peñín: N/A
Romanee Conti Echezeaux 19-|2019|Borgoña|Pinot Noir|8800€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Grand Cru top. Beba agora-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Romanee Conti Vosne 1C Duvault Blochet 19-|2019|Borgoña|Pinot Noir|4500€|Nariz: cassis ervas mineral. Boca: denso elegante. Duvault top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Romanee Conti Vosne 1C Petits Monts 19-|2019|Borgoña|Pinot Noir|9500€|Nariz: morango flores. Boca: puro denso. Petits Monts top. Beba agora-2050. Luxo puro.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rossignol Trapet Chambertin 22-|2022|Borgoña|Pinot Noir|1250€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Chambertin top. Beba 2027-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rossignol Trapet Chapelle Chambertin 22-|2022|Borgoña|Pinot Noir|743€|Nariz: morango ervas. Boca: denso elegante. Chapelle top. Beba agora-2040. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rossignol Trapet Gevrey Chambertin 22-|2022|Borgoña|Pinot Noir|132€|Nariz: frutas vermelhas flores. Boca: fresco mineral. Gevrey top. Beba agora-2035. Aperitivo ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rossignol Trapet Latricieres Cham GC 21-|2021|Borgoña|Pinot Noir|574€|Nariz: cassis mineral. Boca: cremoso puro. Latricieres top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
