301|Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: maçã verde, limão, brioche sutil, mineral. Boca: seco cremoso, acidez vibrante, final longo elegante. Serral del Vell top. Beba agora-2030. Aperitivo ou frutos do mar.|WA: 93 | Peñín: 94
302|Recaredo Terrers 20-|2020|Cava|Macabeo|62€|Nariz: limão, ervas, mineral calcário. Boca: seco tenso, acidez alta. Terrers top. Beba agora-2028. Ostras ou saladas.|WA: 92 | Peñín: 91
303|Recaredo Turo D'en Mota 11-|2011|Cava|Macabeo|217€|Nariz: maçã madura, brioche, mineral. Boca: cremoso complexo, acidez viva. Turo D'en Mota ícone. Beba agora-2035.|WA: 95 | Peñín: 96
304|Torello 225 Brut 18-|2018|Cava|Macabeo|54€|Nariz: limão, ervas, mineral. Boca: seco puro, acidez vibrante. 225 Brut top. Beba agora-2028.|WA: 91 | Peñín: 90
305|Izar Leku 19-|2019|Getariako Txakolina|Hondarribi Zuri|63€|Nariz: limão, maçã verde, salino. Boca: seco tenso, mineralidade vibrante. Txakolina top. Beba agora-2028. Peixe cru ou mariscos.|WA: 92 | Peñín: 91
306|Racines Sparkling Grand Reserve NV|NV|California|Chardonnay|139€|Nariz: limão, maçã, brioche sutil. Boca: cremoso equilibrado, acidez viva. Sparkling top. Beba agora-2028. Aperitivo.|WA: 91 | Peñín: 90
307|#N/D|NV|Champagne|Pinot Noir|135€|Nariz: morango, brioche, mineral. Boca: cremoso tenso. Champagne top. Beba agora-2028.|WA: N/A | Peñín: N/A
308|#N/D|2005|Champagne|Pinot Noir|242€|Nariz: morango maduro, brioche, mineral. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 93 | Peñín: 92
309|Agrapart 7 Crus-|NV|Champagne|Pinot Noir|119€|Nariz: maçã, limão, mineral. Boca: seco puro, acidez alta. 7 Crus top. Beba agora-2028.|WA: 92 | Peñín: 91
310|Andre Heucq H60 Meunier Brut Nature-|2016|Champagne|Pinot Noir|312€|Nariz: morango, ervas, mineral. Boca: seco tenso. H60 top. Beba agora-2030.|WA: 93 | Peñín: 92
311|Andre Heucq Heritage Meunier Brut Nature-|NV|Champagne|Pinot Noir|90€|Nariz: morango, mineral. Boca: seco puro. Heritage top. Beba agora-2028.|WA: 91 | Peñín: 90
312|Belle Epoque 14-|2014|Champagne|Pinot Noir|331€|Nariz: morango, limão, brioche. Boca: cremoso elegante. Belle Epoque top. Beba agora-2035.|WA: 94 | Peñín: 93
313|Benoit Lahaye Blanc de Noirs-|NV|Champagne|Pinot Noir|129€|Nariz: morango, mineral. Boca: seco tenso. Blanc de Noirs top. Beba agora-2028.|WA: 92 | Peñín: 91
314|Benoit Lahaye Brut Nature-|NV|Champagne|Pinot Noir|100€|Nariz: maçã, limão, mineral. Boca: seco puro. Brut Nature top. Beba agora-2028.|WA: 91 | Peñín: 90
315|Bereche et Fils Brut Reserve-|NV|Champagne|Pinot Noir|118€|Nariz: maçã, brioche, mineral. Boca: cremoso equilibrado. Brut Reserve top. Beba agora-2028.|WA: 92 | Peñín: 91
316|Bereche et Fils Rive Gauche 21-|2021|Champagne|Pinot Noir|185€|Nariz: morango, ervas. Boca: seco tenso. Rive Gauche top. Beba agora-2030.|WA: 93 | Peñín: 92
317|Billecart Salmon Brut Reserve-|NV|Champagne|Pinot Noir|98€|Nariz: maçã, limão, brioche. Boca: cremoso puro. Brut Reserve top. Beba agora-2028.|WA: 92 | Peñín: 91
318|Billecart Salmon Rose-|NV|Champagne|Pinot Noir|134€|Nariz: morango, flores. Boca: seco elegante. Rosé top. Beba agora-2028.|WA: 93 | Peñín: 92
319|Bollinger La Grande Annee 15-|2015|Champagne|Pinot Noir|434€|Nariz: maçã madura, brioche, mineral. Boca: cremoso denso. Grande Année top. Beba agora-2035.|WA: 95 | JS: 94
320|Bollinger RD 08-|2008|Champagne|Pinot Noir|605€|Nariz: maçã seca, brioche, mineral. Boca: cremoso complexo. RD top. Beba agora-2035.|WA: 96 | Peñín: 95
321|Bollinger Special Cuvee Brut-|NV|Champagne|Pinot Noir|124€|Nariz: maçã, brioche, mineral. Boca: cremoso equilibrado. Special Cuvée top. Beba agora-2028.|WA: 92 | Peñín: 91
322|Clandestin Sembables Austral 22-|2022|Champagne|Pinot Noir|132€|Nariz: morango, ervas. Boca: seco tenso. Sembables top. Beba agora-2030.|WA: 93 | Peñín: 92
323|Doble Mg Pol Roger S Winston Churchill 13-|2013|Champagne|Pinot Noir|Doble Magnum (300cl)|3150€|Nariz: maçã madura, brioche. Boca: cremoso eterno. Magnum top. Beba agora-2040.|WA: 96 | JS: 95
324|Dom Perignon 15-|2015|Champagne|Pinot Noir|398€|Nariz: maçã, limão, brioche. Boca: cremoso denso. Dom Pérignon top. Beba agora-2035.|WA: 95 | JS: 94
325|Dom Perignon P2 04-|2004|Champagne|Pinot Noir|1200€|Nariz: maçã madura, brioche, mineral. Boca: cremoso complexo. P2 top. Beba agora-2040.|WA: 97 | Peñín: 96
326|Dom Perignon Rose 09-|2009|Champagne|Pinot Noir|754€|Nariz: morango, flores. Boca: seco elegante. Rosé top. Beba agora-2035.|WA: 96 | JS: 95
327|Dom Ruinart Rosé 09-|2009|Champagne|Pinot Noir|651€|Nariz: morango maduro, mineral. Boca: cremoso puro. Rosé top. Beba agora-2035.|WA: 95 | Peñín: 94
328|Doquet Le Mesnil 12-|2012|Champagne|Pinot Noir|279€|Nariz: maçã, limão, mineral. Boca: seco tenso. Le Mesnil top. Beba agora-2030.|WA: 93 | Peñín: 92
329|Egly Ouriet Brut-|NV|Champagne|Chardonnay|186€|Nariz: maçã, brioche, mineral. Boca: cremoso equilibrado. Egly top. Beba agora-2028.|WA: 93 | Peñín: 92
330|Famille Moutard Les Perrieres-|NV|Champagne|Pinot Noir|152€|Nariz: morango, ervas. Boca: seco puro. Les Perrieres top. Beba agora-2028.|WA: 92 | Peñín: 91
331|Fleury Cuvee Robert 13-|2013|Champagne|Pinot Noir|181€|Nariz: maçã madura, brioche. Boca: cremoso complexo. Robert top. Beba agora-2030.|WA: 93 | Peñín: 92
332|George Laval Les Chenes 1C Brut Nature 20-|2020|Champagne|Pinot Noir|506€|Nariz: maçã, limão, mineral. Boca: seco tenso. Les Chenes top. Beba agora-2030.|WA: 94 | Peñín: 93
333|George Laval Les Hautes Chevres BdN 19-|2019|Champagne|Pinot Noir|517€|Nariz: morango, mineral. Boca: cremoso puro. Hautes Chevres top. Beba agora-2035.|WA: 94 | Peñín: 93
334|Gosset Celebris 12 Extra Brut-|2012|Champagne|Pinot Noir|464€|Nariz: maçã madura, brioche. Boca: cremoso denso. Celebris top. Beba agora-2035.|WA: 95 | JS: 94
335|Gosset Grand Rose-|NV|Champagne|Pinot Noir|173€|Nariz: morango, flores. Boca: seco elegante. Grand Rosé top. Beba agora-2028.|WA: 93 | Peñín: 92
336|Gosset Grande Reserve-|NV|Champagne|Pinot Noir|133€|Nariz: maçã, brioche. Boca: cremoso equilibrado. Grande Réserve top. Beba agora-2028.|WA: 92 | Peñín: 91
337|Hure Freres Invitation-|NV|Champagne|Pinot Noir|86€|Nariz: maçã, limão. Boca: seco fresco. Invitation top. Beba agora-2028.|WA: 91 | Peñín: 90
338|Jacques Lassaigne Colline Inspiree BdB-|NV|Champagne|Pinot Noir|245€|Nariz: maçã, mineral. Boca: seco tenso. Colline top. Beba agora-2030.|WA: 93 | Peñín: 92
339|Jacques Lassaigne Vignes Montgueux BdB-|NV|Champagne|Pinot Noir|145€|Nariz: limão, ervas. Boca: seco puro. Montgueux top. Beba agora-2028.|WA: 92 | Peñín: 91
340|Jacques Selosse Les Carelles-|NV|Champagne|Chardonnay|982€|Nariz: maçã madura, brioche, mineral. Boca: cremoso complexo. Carelles top. Beba agora-2035.|WA: 95 | JS: 94
341|Jacques Selosse Millesime 12-|2012|Champagne|Chardonnay|1375€|Nariz: limão tostado, mineral. Boca: denso elegante. Millésime top. Beba agora-2040.|WA: 96 | Peñín: 95
342|Jacques Selosse Rose-|NV|Champagne|Chardonnay|1302€|Nariz: morango, flores. Boca: seco cremoso. Rosé top. Beba agora-2035.|WA: 96 | JS: 95
343|Jacques Selosse V.O.-|NV|Champagne|Chardonnay|734€|Nariz: maçã madura, mel. Boca: oxidativo complexo. V.O. top. Beba agora-2035.|WA: 95 | Peñín: 94
344|Jacquesson 747 Extra-Brut-|NV|Champagne|Pinot Noir|142€|Nariz: maçã, brioche. Boca: seco tenso. 747 top. Beba agora-2028.|WA: 92 | Peñín: 91
345|Jaques Selosse Substance BdB-|NV|Champagne|Chardonnay|1025€|Nariz: limão, mineral. Boca: seco cremoso. Substance top. Beba agora-2035.|WA: 96 | JS: 95
346|Krug Grande Cuvée 172 edition|NV|Champagne|Pinot Noir|465€|Nariz: maçã, brioche, mineral. Boca: cremoso denso. Grande Cuvée top. Beba agora-2030.|WA: 94 | Peñín: 93
347|Krug Rose-|NV|Champagne|Pinot Noir|827€|Nariz: morango, flores. Boca: seco elegante. Rosé top. Beba agora-2030.|WA: 95 | JS: 94
348|L Briant Blanc de Meunier 16-|2016|Champagne|Pinot Noir|270€|Nariz: morango, ervas. Boca: seco tenso. Blanc de Meunier top. Beba agora-2030.|WA: 93 | Peñín: 92
349|L Briant Les Basses Prieres 18-|2018|Champagne|Pinot Noir|300€|Nariz: maçã, mineral. Boca: cremoso puro. Basses Prieres top. Beba agora-2035.|WA: 94 | JS: 93
350|L Briant Les Monts Ferres 18-|2018|Champagne|Pinot Noir|362€|Nariz: morango, ervas. Boca: denso elegante. Monts Ferres top. Beba agora-2035.|WA: 94 | Peñín: 93
351|L Briant Trois Clochers 18-|2018|Champagne|Pinot Noir|310€|Nariz: maçã, limão. Boca: cremoso tenso. Trois Clochers top. Beba agora-2035.|WA: 93 | JS: 92
352|L. Roederer Cristal Rose 14-|2014|Champagne|Pinot Noir|1023€|Nariz: morango maduro, flores. Boca: seco cremoso. Cristal Rosé top. Beba agora-2035.|WA: 96 | JS: 95
353|Laherte BdN Brut Nature-|NV|Champagne|Pinot Noir|93€|Nariz: maçã, mineral. Boca: seco puro. BdN top. Beba agora-2028.|WA: 92 | Peñín: 91
354|Laherte Frères Petit Meslier-|NV|Champagne|Pinot Noir|207€|Nariz: limão, ervas. Boca: seco fresco. Petit Meslier top. Beba agora-2028.|WA: 93 | Peñín: 92
355|Laherte Frères Ultradition-|NV|Champagne|Pinot Noir|68€|Nariz: maçã, brioche. Boca: cremoso equilibrado. Ultradition top. Beba agora-2028.|WA: 91 | Peñín: 90
356|Laherte Rose Meunier-|NV|Champagne|Pinot Noir|98€|Nariz: morango, flores. Boca: seco elegante. Rosé top. Beba agora-2028.|WA: 92 | Peñín: 91
357|Larmandier Bernier Chemins Avize 16-|2016|Champagne|Pinot Noir|258€|Nariz: maçã madura, mineral. Boca: cremoso complexo. Avize top. Beba agora-2030.|WA: 94 | Peñín: 93
358|Larmandier Bernier VV du Levant BdB 13-|2013|Champagne|Pinot Noir|330€|Nariz: limão maduro, mineral. Boca: denso elegante. VV top. Beba agora.|WA: 95 | JS: 94
359|Larmandier Bernier VV du Levant BdB 14-|2014|Champagne|Pinot Noir|418€|Nariz: maçã, ervas. Boca: cremoso puro. Top. Beba agora-2030.|WA: 94 | Peñín: 93
360|Larmandier-Bernier Longitude BdB-|NV|Champagne|Pinot Noir|127€|Nariz: limão, mineral. Boca: seco tenso. Longitude top. Beba agora-2028.|WA: 92 | Peñín: 91
361|Lassaigne Clos St Sophie Rose 20-|2020|Champagne|Pinot Noir|370€|Nariz: morango, flores. Boca: seco cremoso. Rose top. Beba agora-2030.|WA: 93 | Peñín: 92
362|Lassaigne Millesime 10-|2010|Champagne|Pinot Noir|398€|Nariz: maçã madura, brioche. Boca: cremoso complexo. Millésime top. Beba agora.|WA: 94 | Peñín: 93
363|Leclerc Briant Millesime 19-|2019|Champagne|Pinot Noir|171€|Nariz: maçã, limão. Boca: seco elegante. Millésime top. Beba agora-2030.|WA: 93 | JS: 92
364|Louis Roederer Collection -|NV|Champagne|Pinot Noir|119€|Nariz: maçã, brioche. Boca: cremoso equilibrado. Collection top. Beba agora-2028.|WA: 92 | Peñín: 91
365|Louis Roederer Cristal 16-|2016|Champagne|Pinot Noir|572€|Nariz: maçã, limão, mineral. Boca: denso puro. Cristal top. Beba agora-2035.|WA: 96 | JS: 95
366|Mg Pol Roger S Winston Churchill 15-|2015|Champagne|Pinot Noir|Magnum (150cl)|979€|Nariz: maçã madura, brioche. Boca: cremoso eterno. Magnum top. Beba agora-2040.|WA: 96 | JS: 95
367|Mg Salon BdB 13-|2013|Champagne|Pinot Noir|Magnum (150cl)|3625€|Nariz: limão, mineral. Boca: seco denso. Magnum top. Beba agora-2040.|WA: 97 | Peñín: 96
368|Pascal Doquet Anthocyanes 1C Rose-|NV|Champagne|Pinot Noir|109€|Nariz: morango, flores. Boca: seco elegante. Rose top. Beba agora-2028.|WA: 92 | Peñín: 91
369|Philipponnat Clos des Goisses 15 Extra Brut-|2015|Champagne|Pinot Noir|570€|Nariz: maçã, brioche. Boca: cremoso tenso. Clos des Goisses top. Beba agora-2035.|WA: 95 | JS: 94
370|Pierre Peters Les Chetillons BdB 17 Brut-|2017|Champagne|Pinot Noir|283€|Nariz: limão, mineral. Boca: seco puro. Chetillons top. Beba agora-2030.|WA: 94 | Peñín: 93
371|Pierre Peters L'Esprit GC 20-|2020|Champagne|Pinot Noir|161€|Nariz: maçã, ervas. Boca: cremoso equilibrado. L'Esprit top. Beba agora-2028.|WA: 92 | Peñín: 91
372|Pol Roger Brut Reserve-|NV|Champagne|Pinot Noir|120€|Nariz: maçã, brioche. Boca: cremoso puro. Brut Reserve top. Beba agora-2028.|WA: 92 | Peñín: 91
373|Pol Roger S Winston Churchill 15-|2015|Champagne|Pinot Noir|497€|Nariz: maçã madura, mineral. Boca: denso elegante. Winston Churchill top. Beba agora-2035.|WA: 96 | JS: 95
374|Pol Roger S Winston Churchill 18-|2018|Champagne|Pinot Noir|491€|Nariz: morango, brioche. Boca: cremoso longo. Top. Beba agora-2035.|WA: 95 | Peñín: 94
