Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: brioche, maçã madura, ervas secas, mineral. Boca: cremoso fino, acidez viva, bolha integrada, final longo seco. Cava clássico e elegante. Beba agora-2030. Aperitivo ou frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Recaredo)
Recaredo Terrers 20-|2020|Cava|Macabeo|62€|Nariz: maçã verde, flores, mineral calcário. Boca: tenso puro, acidez alta, seco mineral. Cava terroir puro. Beba agora-2028. Peixe grelhado.|JS: N/A | WA: N/A | TA: N/A | Peñín: 92
Recaredo Turo D'en Mota 11-|2011|Cava|Macabeo|217€|Nariz: brioche, maçã madura, mel, mineral profundo. Boca: cremoso denso, acidez viva, bolha fina, final eterno. Ícone Cava maduro. Beba agora-2035. Lagosta ou queijos.|JS: N/A | WA: N/A | TA: N/A | Peñín: 96 (similar safra)
Torello 225 Brut 18-|2018|Cava|Macabeo|54€|Nariz: tostado, maçã, ervas. Boca: seco cremoso, acidez boa. Cava bom valor. Beba agora-2028. Aperitivo.|JS: N/A | WA: N/A | TA: N/A | Peñín: 90
Izar Leku 19-|2019|Getariako Txakolina|Hondarribi Zuri|63€|Nariz: maçã verde, limão, sal marinho. Boca: seco tenso, acidez altíssima, salino. Txakoli clássico. Beba agora-2028. Ostras ou peixe cru.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Racines Sparkling Grand Reserve NV|NV|California|Chardonnay|139€|Nariz: maçã verde, limão, brioche sutil. Boca: cremoso fino, acidez viva, bolha integrada. Sparkling CA elegante. Beba agora-2028. Aperitivo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
#N/D|NV|Champagne|Pinot Noir|135€|Nariz: frutas vermelhas, brioche, mineral. Boca: cremoso equilibrado, bolha fina. Champagne clássico. Beba agora-2030. Aperitivo ou salmão.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
#N/D|2005|Champagne|Pinot Noir|242€|Nariz: brioche maçã madura, mel. Boca: cremoso complexo, acidez viva. Maduro delicioso. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Agrapart 7 Crus-|NV|Champagne|Pinot Noir|119€|Nariz: maçã limão, flores. Boca: puro mineral, acidez alta. Blanc de Blancs top. Beba agora-2030. Ostras.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Andre Heucq H60 Meunier Brut Nature-|2016|Champagne|Pinot Noir|312€|Nariz: frutas vermelhas, brioche. Boca: seco tenso, mineral. Meunier puro. Beba agora-2030. Aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Andre Heucq Heritage Meunier Brut Nature-|NV|Champagne|Pinot Noir|90€|Nariz: morango maçã. Boca: fresco mineral. Meunier acessível. Beba agora-2028. Aperitivo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Belle Epoque 14-|2014|Champagne|Pinot Noir|331€|Nariz: brioche, maçã, flores. Boca: cremoso elegante, bolha fina. Perrier-Jouët top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Benoit Lahaye Blanc de Noirs-|NV|Champagne|Pinot Noir|129€|Nariz: frutas vermelhas, mineral. Boca: seco tenso, puro. BdN clássico. Beba agora-2030. Peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Benoit Lahaye Brut Nature-|NV|Champagne|Pinot Noir|100€|Nariz: maçã vermelha, ervas. Boca: seco mineral, acidez viva. Brut Nature top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bereche et Fils Brut Reserve-|NV|Champagne|Pinot Noir|118€|Nariz: brioche, maçã. Boca: equilibrado cremoso. Reserva clássica. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bereche et Fils Rive Gauche 21-|2021|Champagne|Pinot Noir|185€|Nariz: limão mineral. Boca: tenso puro. Rive Gauche elegante. Beba 2026-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Billecart Salmon Brut Reserve-|NV|Champagne|Pinot Noir|98€|Nariz: maçã flores, brioche sutil. Boca: cremoso fino, acidez viva. Clássico top. Beba agora-2030. Aperitivo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Billecart Salmon Rose-|NV|Champagne|Pinot Noir|134€|Nariz: morango framboesa. Boca: fresco cremoso. Rosé elegante. Beba agora-2028. Salmão.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bollinger La Grande Annee 15-|2015|Champagne|Pinot Noir|434€|Nariz: brioche, maçã, mineral. Boca: denso cremoso, acidez viva. Vintage top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bollinger RD 08-|2008|Champagne|Pinot Noir|605€|Nariz: brioche maçã madura, mel. Boca: complexo longo. RD maduro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bollinger Special Cuvee Brut-|NV|Champagne|Pinot Noir|124€|Nariz: brioche, maçã, nozes. Boca: cremoso equilibrado. Clássico Bollinger. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clandestin Sembables Austral 22-|2022|Champagne|Pinot Noir|132€|Nariz: maçã mineral. Boca: tenso puro. Natural elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Pol Roger S Winston Churchill 13-|2013|Champagne|Pinot Noir|Doble Magnum (300cl)|3150€|Nariz: brioche maçã madura. Boca: denso cremoso longo. Magnum lendário. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom Perignon 15-|2015|Champagne|Pinot Noir|398€|Nariz: brioche, maçã, mineral. Boca: cremoso tenso, acidez viva. Vintage top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom Perignon P2 04-|2004|Champagne|Pinot Noir|1200€|Nariz: brioche mel maçã madura. Boca: complexo eterno. P2 maduro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom Perignon Rose 09-|2009|Champagne|Pinot Noir|754€|Nariz: morango brioche. Boca: cremoso elegante. Rosé top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom Ruinart Rosé 09-|2009|Champagne|Pinot Noir|651€|Nariz: framboesa brioche. Boca: cremoso longo. Rosé maduro. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doquet Le Mesnil 12-|2012|Champagne|Pinot Noir|279€|Nariz: maçã mineral. Boca: tenso puro. BdB top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Egly Ouriet Brut-|NV|Champagne|Chardonnay|186€|Nariz: maçã flores mineral. Boca: cremoso puro. Egly clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Famille Moutard Les Perrieres-|NV|Champagne|Pinot Noir|152€|Nariz: maçã limão mineral. Boca: tenso elegante. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fleury Cuvee Robert 13-|2013|Champagne|Pinot Noir|181€|Nariz: brioche maçã. Boca: cremoso equilibrado. Vintage bom. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
George Laval Les Chenes 1C Brut Nature 20-|2020|Champagne|Pinot Noir|506€|Nariz: maçã mineral. Boca: seco puro. Natural top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
George Laval Les Hautes Chevres BdN 19-|2019|Champagne|Pinot Noir|517€|Nariz: limão flores. Boca: tenso elegante. BdN refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gosset Celebris 12 Extra Brut-|2012|Champagne|Pinot Noir|464€|Nariz: brioche maçã mineral. Boca: cremoso seco. Extra Brut top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gosset Grand Rose-|NV|Champagne|Pinot Noir|173€|Nariz: morango brioche. Boca: cremoso elegante. Rosé clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gosset Grande Reserve-|NV|Champagne|Pinot Noir|133€|Nariz: maçã brioche. Boca: equilibrado cremoso. Reserva top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hure Freres Invitation-|NV|Champagne|Pinot Noir|86€|Nariz: maçã flores. Boca: fresco puro. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
