[TEMP] Charmes-Chambertin (Grand Cru) 19-|2019|Borgoña|Pinot Noir|—|Nariz: cassis violetas, ervas e mineral. Boca: denso cremoso eterno, taninos refinados. Charmes-Chambertin ícone. Beba agora-2045+. Harmonização: carne vermelha premium.|WA: 97 | JS: 96 | Peñín: N/A
[TEMP] Morey-Saint-Denis ‘La Rue de Vergy’ 19-|2019|Borgoña|Pinot Noir|—|Nariz: frutas vermelhas, ervas e mineral. Boca: cremoso taninos firmes. La Rue de Vergy top. Beba agora-2035+. Harmonização: aves ou queijos.|WA: 94 | JS: 93 | Peñín: N/A
[TEMP] Meursault BL-|—|Borgoña|Chardonnay|—|Nariz: cítricos maduros, ervas e mineral. Boca: cremoso equilibrado. Meursault top. Beba agora-2035+. Harmonização: peixe ou frutos do mar.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chambolle-Musigny 1er Cru Les Amoureuses TO-|—|Borgoña|Pinot Noir|—|Nariz: cassis violetas mineral. Boca: denso puro eterno. Les Amoureuses ícone. Beba agora-2045+. Harmonização: luxo máximo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Vosne-Romanée 1er Cru Les Suchots 23-|2023|Borgoña|Pinot Noir|—|Nariz: frutas vermelhas, mineral. Boca: vibrante denso. Les Suchots top. Jovem top. Beba 2028-2045+. Harmonização: carne premium.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chambolle-Musigny 22-|2022|Borgoña|Pinot Noir|—|Nariz: cassis, violeta e mineral. Boca: elegante denso. Chambolle top. Beba agora-2035+. Harmonização: aves.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Nuits-Saint-Georges ‘Les Charmois’ 22-|2022|Borgoña|Pinot Noir|—|Nariz: cassis mineral. Boca: denso cremoso. Les Charmois top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Romanée-Saint-Vivant (Grand Cru) 23-|2023|Borgoña|Pinot Noir|—|Nariz: cassis violetas mineral. Boca: denso eterno. RSV ícone. Jovem top. Beba 2028-2050+. Harmonização: luxo máximo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Vosne-Romanée 1er Cru Les Suchots 22-|2022|Borgoña|Pinot Noir|—|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Les Suchots top. Beba agora-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Vosne-Romanée 1er Cru Malconsorts 22-|2022|Borgoña|Pinot Noir|—|Nariz: cassis mineral. Boca: denso puro. Malconsorts top. Beba agora-2040+. Harmonização: carne premium.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Santenay ‘Maladière’ 23-|2023|Borgoña|Chardonnay|—|Nariz: cítricos frescos, ervas. Boca: vibrante mineral. Maladière top. Jovem top. Beba agora-2028+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Bourgogne 22-|2022|Borgoña|Pinot Noir|—|Nariz: morango, ervas. Boca: fresco denso. Bourgogne top. Beba agora-2030+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Clos de Vougeot 15-|2015|Borgoña|Pinot Noir|—|Nariz: cassis maduro, ervas. Boca: denso cremoso eterno. Clos de Vougeot top. Beba agora.|WA: 95 | JS: 94 | Peñín: N/A
[TEMP] Vosne-Romanée 1er Cru Les Chaumes 23-|2023|Borgoña|Pinot Noir|—|Nariz: cassis, ervas. Boca: fresco puro vibrante. Les Chaumes top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chambertin Clos de Bèze (Grand Cru) 18-|2018|Borgoña|Pinot Noir|—|Nariz: cassis violetas mineral. Boca: denso eterno. Clos de Bèze ícone. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
[TEMP] Volnay 1er Cru Pitures 23-|2023|Borgoña|Pinot Noir|—|Nariz: morango, mineral. Boca: elegante taninos finos. Pitures top. Jovem top. Beba agora-2028+. Harmonização: aves.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Latricières-Chambertin (Grand Cru) 21-|2021|Borgoña|Pinot Noir|—|Nariz: cassis, ervas. Boca: denso cremoso. Latricières top. Beba agora-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
