Mg Ch Margaux 09-|2009|Burdeos|Cabernet Sauvignon|5950€|Nariz: cassis maduro, violetas, tabaco e mineral. Boca: denso cremoso eterno, taninos sedosos e polidos, final infinito. Margaux Magnum ícone. Beba agora-2045+. Harmonização: carne vermelha premium ou caça.|WA: 99 | JS: 98 | Peñín: N/A
Mg Ch Margaux 15-|2015|Burdeos|Cabernet Sauvignon|9560€|Nariz: cassis puro, ervas finas e grafite. Boca: elegante denso, taninos refinados, acidez vibrante. Margaux Magnum ícone. Beba agora-2050+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Mg Ch Margaux 19-|2019|Burdeos|Cabernet Sauvignon|3696€|Nariz: cassis, violetas e mineral profundo. Boca: tenso cremoso, taninos firmes mas elegantes. Jovem top. Beba 2028-2050+. Harmonização: carne vermelha.|WA: 98-100 | JS: 99 | Peñín: N/A
Mg Ch Rauzan Segla Margaux 18-|2018|Burdeos|Cabernet Sauvignon|646€|Nariz: cassis, ervas e especiarias. Boca: denso equilibrado, taninos suaves. Rauzan Segla top. Beba agora-2040+. Harmonização: carne vermelha grelhada.|WA: 96 | JS: 95 | Peñín: N/A
Mg Cheval Blanc 16-|2016|Burdeos|Merlot|4934€|Nariz: cassis, violeta e mineral. Boca: denso cremoso eterno, taninos sedosos. Cheval Blanc Magnum ícone. Beba agora-2050+. Harmonização: carne premium.|WA: 100 | JS: 99 | Peñín: N/A
Mg Les Forts de Latour Pauillac 16-|2016|Burdeos|Cabernet Sauvignon|1240€|Nariz: cassis maduro, tabaco e grafite. Boca: potente cremoso, taninos firmes. Forts de Latour Magnum top. Beba agora-2045+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Mg Petrus Pomerol 11-|2011|Burdeos|Merlot|18532€|Nariz: cassis mineral, ervas e trufa. Boca: denso eterno, taninos polidos. Petrus Magnum ícone. Beba agora-2050+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Mg Petrus Pomerol 14-|2014|Burdeos|Merlot|17916€|Nariz: cassis maduro, mineral profundo. Boca: cremoso taninos firmes. Petrus Magnum ícone. Beba agora-2045+. Harmonização: carne vermelha premium.|WA: 96 | JS: 95 | Peñín: N/A
Mg. Ch Rocheyron 2018-|2018|Burdeos|Cabernet Sauvignon|514€|Nariz: cassis, ervas e especiarias. Boca: denso elegante, taninos refinados. Rocheyron Magnum top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Pauillac Lafite Rothschild 2010-|2010|Burdeos|Cabernet Sauvignon|2500€|Nariz: cassis puro, grafite e ervas finas. Boca: denso cremoso eterno, taninos sedosos. Lafite ícone. Beba agora-2050+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Pavillon Rouge 16-|2016|Burdeos|Cabernet Sauvignon|500€|Nariz: cassis, ervas e mineral. Boca: fresco denso, taninos elegantes. Pavillon Rouge top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Pavillon Rouge Ch Margaux 22-|2022|Burdeos|Cabernet Sauvignon|500€|Nariz: cassis fresco, violetas. Boca: tenso vibrante, taninos finos. Jovem top. Beba 2027-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Pavillon Rouge de Ch Margaux 09-|2009|Burdeos|Cabernet Sauvignon|505€|Nariz: cassis maduro, tabaco. Boca: cremoso longo, taninos polidos. Pavillon Rouge top. Beba agora.|WA: 95 | JS: 94 | Peñín: N/A
