status,source_file,producer,item,ano_raw,qty_total,rows_count,locations,best_pod,best_descripcion,best_score,best_margin,best_producer_score,pais_sugerido,region_sugerida,tipo_sugerido,uva_sugerida,clima_sugerido,suelo_sugerido
provavel_alias_existente,222 borgoña_blancos.pdf,Arnaud Ente,Initiales BB,2022,1,1,CAVA 7 · BALDA 5 · A,POD015933,Bonin Initiales BB 22-,0.6873,0.1323,0.5,Francia,Borgoña,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,222 borgoña_blancos.pdf,Arnaud Ente,Meursault,2019,2,1,CAVA 7 · BALDA 5 · E,POD015939,Arnaud Ente Meursault 20-,0.7955,0.0031,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_alias_existente,222 borgoña_blancos.pdf,Arnaud Ente,Meursault Clos du Cromin,2022,3,1,CAVA 7 · BALDA 4 · IZQ,POD017044,Bonin Meursault Clos Cromin 22-,0.71,0.0182,0.5,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_alias_existente,222 borgoña_blancos.pdf,Arnaud Ente,Meursault Les Tillets,2022,2,1,CAVA 7 · BALDA 4 · DER,POD017045,Bonin Meursault Tillets 22-,0.6855,0.0305,0.5,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_alias_existente,222 borgoña_blancos.pdf,Bruno Colin,Chassagne-Montrachet 1er Cru La Maltroie,2023,2,1,CAVA 8 · BALDA 7 · IZQ,POD018783,Bruno Colin Chass 1C Maltroie 23-,0.7825,0.0168,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_alias_existente,222 borgoña_blancos.pdf,Domaine de Villaine,Bouzeron,2022,3,1,CAVA 7 · BALDA 8 · CEN,POD011639,De Villaine Bouzeron Aligote BL 22 -,0.5716,0.0216,0.5957,Francia,Borgoña,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,222 borgoña_blancos.pdf,Raveneau,Chablis,2019,1,1,CAVA 7 · BALDA 2 · CEN,POD017285,Raveneau Chablis 19-,0.7111,0.1691,0.64,Francia,Borgoña,Blanco,Chardonnay,Continental fresco.,Calcário kimmeridgiano.
provavel_alias_existente,222 borgoña_blancos.pdf,Roulot,Meix Chavaux,2019,2,1,CAVA 7 · BALDA 5 · C,POD017294,Roulot Meursault Meix Chavaux 19-,0.6975,0.07,0.6,Francia,Borgoña,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,222 borgoña_blancos.pdf,Vincent Girardin,Puligny-Montrachet 1er Cru Les Combettes,2022,2,1,CAVA 8 · BALDA 6 · CEN,POD012527,Vincent Girardin Puligny 1C Combettes 22-,0.7838,0.0209,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_alias_existente,222 borgoña_tintos.pdf,Comtes de Vogüé,Chambolle-Musigny 1er Cru,2022,2,1,CAVA 4 · BALDA 3 · DER,POD017373,Vogue Chambolle Musigny 22-,0.7992,0.0176,0.7895,Francia,Borgoña,Tinto,Pinot Noir,Continental.,Calcário e marga.
